fid,latitude,longitude,full_id,osm_id,osm_type,addr_city,addr_stree,amenity,cuisine,name,name_en,name_ko,name_ru,opening_ho,branch,brand,brand_wiki,brand_wi_1,takeaway,addr_house,addr_floor,addr_hou_1,addr_postc,addr_str_1,level,email,operator,phone,addr_provi,delivery,garmin_des,outdoor_se,source_url,contributo,brand_face,brand_webs,drive_thro,name_ja,payment_ca,smoking,ele,name_zh,building_l,roof_mater,wall_mater,drive_in,alt_name,internet_a,wheelchair,addr_place,int_name,mapillary,entrance,building,addr_town,ref_vatin,baby_feedi,door,addr_quart,website,access,highway,air_condit,opening__1,addr_distr,previously,addr_regio,addr_zip,postal_cod,government,ph_contrib,atm,capacity,addr_villa,tactile_pa,access_cov,delivery_c,drive_th_1,takeaway_c,camera_mou,camera_typ,man_made,surveillan,surveill_1,survey_dat,payment_el,descriptio,layer,path
313,14.6714195,121.0791759,n6553326684,6553326684,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=brand:string(0,0)&field=brand%3Awikidata:string(0,0)&field=brand%3Awikipedi"
330,14.5834276,121.0770611,n8069192288,8069192288,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=brand:string(0,0)&field=brand%3Awikidata:string(0,0)&field=brand%3Awikipedi"
383,14.5972837,121.0393674,n4556560103,4556560103,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=brand:string(0,0)&field=brand%3Awikidata:string(0,0)&field=brand%3Awikipedi"
385,14.5720085,121.015579,n4640204244,4640204244,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall,fixed,surveillance,outdoor,camera,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=brand:string(0,0)&field=brand%3Awikidata:string(0,0)&field=brand%3Awikipedi"
390,14.5631763,120.9966831,n3398022693,3398022693,node,Manila,Pablo Ocampo Sr. Avenue,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,,McDonald's,Q38076,en:McDonald's,yes,University Pad Residences,,912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
391,14.6453175,121.0173691,n3275619464,3275619464,node,,,fast_food,burger,McDonald's,,,,,Baler,McDonald's,Q38076,en:McDonald's,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
392,14.6867866,120.9953666,n3507275979,3507275979,node,Valenzuela,Gen. T. De Leon,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,,McDonald's,Q38076,en:McDonald's,yes,,,,1442,,,,,+63 2 9614405,,,,,,,,,no,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
393,14.5245757,121.0129649,n3559831563,3559831563,node,Pasay,10th Street,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,,,,,,Plaza 66,,,1309,Manlunas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
394,14.5892734,121.0367846,n3499203340,3499203340,node,,,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,24/7,,McDonald's,,,yes,,,,,,,,"DHY Food & Beverage, Inc.",,,yes,,,,,,,no,,,,,,,,,,,,,,,,,,,PH008910979000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
395,14.6167021,120.9829813,n3500244626,3500244626,node,,,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
