x,y,full_id,osm_id,osm_type,amenity,name,name:kn,barrier,bicycle,foot,motorcycle,wikidata,addr:city,addr:postcode,addr:street,wheelchair,ups_school,phone,website,isced:level,operator,place,school,highway,building,email,addr:housename,designation,alt_name,fax,description,name:en,name:hi,addr:housenumber,opening_hours,cmt,ele,hdop,sat,level,entrance,access,building:levels,isced,addr:country,addr:hamlet,addr:suburb
77.627282,12.8910839,n6348823186,6348823186,node,school,Svs HPS Hongasandra,ಎಸ್‌.ವಿ.ಎಸ್‌.ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ  ಹೊಂಗಸಂದ್ರ,,,,,,,,,,,,,2,Department of Education,Hongasandra,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.5890223,12.8590074,n6348786153,6348786153,node,school,GHPS Gottigere,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಗೊಟ್ಟಿಗರೆ,,,,,,,,,,,,,2,Department of Education,Gottigere,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.576942,12.8572549,n6348790816,6348790816,node,school,GHPS Kembathhalli,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಕೆಂಭತ್ ಹಳ್ಳಿ,,,,,,,,,,,,,2,Department of Education,Kembathhalli,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.578965,12.9305338,n6349083665,6349083665,node,school,Rks Yadiyur,ಆರ್.ಕೆ.ಎಸ್ ಯಡಿಯೂರು,,,,,,,,,,,,,2,Department of Education,Yadiyur,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.5815312,12.9357819,n6349089553,6349089553,node,school,Vijaya HPS Jayanagar,ವಿಜಯ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಜಯನಗರ,,,,,,,,,,,,,2,Department of Education,Jayanagar,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.5756443,12.9308215,n6349080102,6349080102,node,school,GKHPS Yadiyuru,ಸರ್ಕಾರಿ ಕನ್ನಡ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಯಡಿಯೂರು,,,,,,,,,,,,,2,Department of Education,Yadiyuru,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.5757852,12.9275465,n6349082322,6349082322,node,school,NSVK Kannada School Jayanagar,ಎನ್‌.ಎಸ್‌.ವಿ.ಕೆ. ಕನ್ನಡ ಶಾಲೆ ಜಯನಗರ,,,,,,,,,,,,,2,Department of Education,Jayanagar,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6474412,12.8777,n6349076476,6349076476,node,school,GHPS Singasandra,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಸಿಂಗಸಂದ್ರ,,,,,,,,,,,,,2,Department of Education,Singasandra,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6249479,12.9103875,n6349078203,6349078203,node,school,Sadhguru Sai Baba HPS Roopena Bommanahalli,ಸಧ್ಗುರು ಸಾಯಿ ಬಾಬಾ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ರೂಪೇನಾ  ಬೊಮ್ಮನಹಳ್ಳಿ,,,,,,,,,,,,,2,Department of Education,Bommanahalli,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.5965327,12.9296754,n6349067615,6349067615,node,school,GUHPS Srk Garden,ಸರ್ಕಾರಿ ಉರ್ದು ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಎಸ್‌.ರ್.ಕೆ ಗಾರ್ಡನ್,,,,,,,,,,,,,2,Department of Education,Srk Garden,primary,,,,,,,,,,,,,,,,,,,,,,,,
